name,pid,memory_usage,status
loginwindow,363,31490048,running
distnoted,513,3948544,running
cfprefsd,514,4177920,running
UserEventAgent,531,8830976,running
lsd,536,10403840,running
nsurlsessiond,540,12288000,running
usernoted,541,14352384,running
rapportd,543,10895360,running
lockoutagent,545,5341184,running
secd,548,12206080,running
backgroundtaskmanagementagent,551,3506176,running
sharedfilelistd,552,4669440,running
NotificationCenter,559,19070976,running
identityservicesd,563,19775488,running
itunescloudd,564,7323648,running
Microsoft Word,572,33685504,running
bird,575,5685248,running
coreauthd,584,5554176,running
sharingd,585,19152896,running
pboard,586,6356992,running
cloudd,589,29917184,running
Messages,597,43384832,running
Preview,600,33243136,running
Google Chrome,601,59260928,running
Microsoft PowerPoint,607,32096256,running
Music,608,0,stopped
Terminal,609,24985600,running
Xcode,611,19333120,running
Microsoft Excel,612,59555840,running
Mail,614,20660224,running
App Store,615,0,stopped
spindump_agent,616,2146304,running
Calendar,617,10944512,running
Notes,618,0,stopped
Dock,620,25411584,running
ControlCenter,621,37421056,running
SystemUIServer,623,7061504,running
Finder,624,50233344,running
Spotlight,627,14565376,running
fontd,628,8142848,running
com.apple.Safari.History,631,7946240,running
fontworker,632,2195456,running
CalendarAgent,633,29245440,running
AMPDeviceDiscoveryAgent,635,4194304,running
useractivityd,641,10321920,running
com.apple.dock.extra,645,6766592,running
commerce,650,6881280,running
familycircled,651,7979008,running
avconferenced,654,8732672,running
UIKitSystem,656,6078464,running
imagent,659,15925248,running
imklaunchagent,662,5472256,running
PasswordBreachAgent,664,5472256,running
WiFiAgent,666,5210112,running
corespotlightd,671,28753920,running
mdwrite,680,2605056,running
passd,682,5242880,running
PAH_Extension,687,7995392,running
icdd,696,3309568,running
mediaremoteagent,734,2752512,running
mdbulkimport,742,7913472,running
com.apple.WebKit.WebContent,751,6111232,running
com.apple.WebKit.Networking,753,5586944,running
com.apple.CoreSimulator.CoreSimulatorService,808,2998272,running
SimLaunchHost.arm64,810,376832,running
SimulatorTrampoline,812,2572288,running
corespeechd,818,5652480,running
AirPlayUIAgent,835,4112384,running
cloudpaird,837,9486336,running
diagnostics_agent,838,7110656,running
TextInputMenuAgent,839,8896512,running
ctkahp,843,2244608,running
com.apple.WebKit.WebContent,854,7225344,running
com.apple.WebKit.Networking,856,6340608,running
com.apple.dt.SKAgent,874,4816896,running
XCBBuildService,876,1523712,running
GPUToolsAgent,879,1490944,running
storeaccountd,1007,5423104,running
chrome_crashpad_handler,1181,737280,running
Google Chrome Helper (GPU),1188,24215552,running
Google Chrome Helper,1190,15040512,running
Google Chrome Helper,1192,6684672,running
com.apple.speech.speechsynthesisd,1333,1097728,running
Microsoft Update Assistant,1649,6389760,running
callservicesd,2406,15794176,running
accountsd,5704,16859136,running
Teams,7262,51904512,running
chrome_crashpad_handler,7335,737280,running
Microsoft Teams Helper (GPU),7336,14614528,running
Microsoft Teams Helper,7338,16039936,running
Microsoft Teams Helper (Renderer),7341,11976704,running
Microsoft Teams Helper,7342,8339456,running
